Census year,Construction year,Number of floors (above ground),Predominant space use,x,y,Latitude,longitude
2017,1895,1,House/Townhouse,144.9317,-37.7939,-37.79385696,144.9317264
2017,,1,House/Townhouse,144.9473,-37.8052,-37.80521049,144.9472792
2017,1870,1,Equipment Installation,144.958,-37.7915,-37.79153617,144.9580062
2017,1891,8,Office,144.9601,-37.8164,-37.81639571,144.9600894
2017,1950,3,Storage,144.9375,-37.7949,-37.79489232,144.9375303
2017,1928,2,Entertainment/Recreation - Indoor,144.9545,-37.8149,-37.81493032,144.9544917
2017,,2,House/Townhouse,144.9665,-37.7997,-37.79971703,144.9665088
2017,,2,House/Townhouse,144.9482,-37.8064,-37.80643806,144.9481995
2017,1924,9,Residential Apartment,144.9581,-37.8171,-37.81710703,144.9581374
2017,,1,House/Townhouse,144.9744,-37.7965,-37.79648343,144.9744057
2017,,2,House/Townhouse,144.9454,-37.796,-37.79602245,144.9454372
2017,,1,House/Townhouse,144.9228,-37.7943,-37.79427561,144.9228394
2017,1920,3,Office,144.9614,-37.8138,-37.81379592,144.9613939
2017,,1,House/Townhouse,144.9245,-37.7933,-37.7933392,144.9244659
2017,,1,House/Townhouse,144.9464,-37.7953,-37.79525492,144.9463734
2017,1901,3,Retail - Shop,144.9622,-37.8142,-37.81416606,144.9621531
2017,1926,7,Office,144.9611,-37.8136,-37.81359817,144.9610732
2017,1910,7,Office,144.9705,-37.8157,-37.81566963,144.9705136
2017,1900,1,House/Townhouse,144.9315,-37.7931,-37.79308008,144.931482
2017,1915,3,Residential Apartment,144.9603,-37.8113,-37.81133473,144.9602913
2017,1940,1,Equipment Installation,144.9638,-37.8238,-37.82380226,144.9637958
2017,1950,2,Residential Apartment,144.9475,-37.8022,-37.80223332,144.9474526
2017,,2,House/Townhouse,144.9561,-37.7953,-37.79531196,144.9560652
2017,,1,House/Townhouse,144.943,-37.7909,-37.79088115,144.9429552
2017,,2,House/Townhouse,144.9523,-37.802,-37.80202143,144.9522549
2017,,2,House/Townhouse,144.9696,-37.8006,-37.8006363,144.9696103
2017,,1,House/Townhouse,144.9482,-37.7973,-37.79731059,144.9481994
2017,1889,3,Unoccupied - Unused,144.9622,-37.8128,-37.81277862,144.9621815
2017,2003,1,House/Townhouse,144.9467,-37.803,-37.80297092,144.9467087
2017,1982,12,Commercial Accommodation,144.959,-37.8146,-37.81457731,144.9590415
2017,1970,1,Retail - Shop,144.9571,-37.8265,-37.82647071,144.9571325
2017,1993,1,Retail - Shop,144.9443,-37.8006,-37.80062475,144.9442553
2017,,1,House/Townhouse,144.9268,-37.7991,-37.79914287,144.9268168
2017,,2,House/Townhouse,144.9197,-37.7933,-37.79330537,144.9196505
2017,,1,House/Townhouse,144.9749,-37.7936,-37.7935762,144.9749353
