Census year,Property ID,Base property ID,Street address,CLUE small area,Construction year,Predominant space use,x coordinate,y coordinate
2014,103802,103802,26 Fitzgibbon Street,Parkville,,Residential,144.957,-37.7962
2014,102851,102851,437-439 Dryburgh Street,North Melbourne,,Residential,144.9446,-37.795
2014,101299,101299,39 Brougham Street,North Melbourne,,Residential,144.9443,-37.7939
2014,102893,102893,430 Dryburgh Street,North Melbourne,,Residential,144.9452,-37.7952
2014,102119,102119,468-478 Collins Street,Melbourne (CBD),1970,Commercial,144.9583,-37.8175
2014,108663,108663,15-17 St Leonards Court,South Yarra,,Residential,144.9853,-37.8298
2014,100958,100958,336 Bellair Street,Kensington,,Residential,144.9315,-37.7985
2014,109608,109608,562 Victoria Parade,East Melbourne,,Residential,144.9901,-37.8102
2014,104328,104328,115-119 Gipps Street,East Melbourne,,Residential,144.9868,-37.8134
2014,110503,110503,332-342 Lorimer Street,Port Melbourne,1999,Commercial,144.9091,-37.8238
2014,563251,563251,60 Baillie Street,North Melbourne,2000,Residential,144.9462,-37.8012
2014,111394,111394,16-30 Russell Place,Melbourne (CBD),2010,Residential,144.9674,-37.8136
2014,107497,107497,141 Peel Street,North Melbourne,,Residential,144.9559,-37.8047
2014,109479,109479,30 Tennyson Street,Kensington,,Residential,144.9301,-37.7977
2014,108183,108183,307 Rathdowne Street,Carlton,,Residential,144.9699,-37.7995
2014,615374,615374,76 Barnett Street,Kensington,1895,Residential,144.9318,-37.7936
2014,103941,103941,247-251 Flinders Lane,Melbourne (CBD),1899,Commercial,144.9662,-37.817
2014,593664,593664,37 Kensington Road,Kensington,2004,Residential,144.9262,-37.7952
2014,101038,101038,10 Bent Street,Kensington,,Residential,144.9349,-37.7961
2014,104917,104917,58-60 Hope Street,South Yarra,,Residential,144.9795,-37.836
2014,109767,109767,662 Victoria Street,North Melbourne,,Residential,144.9441,-37.8043
2014,110177,110177,26-28 Wimble Street,Parkville,,Residential,144.9562,-37.7947
2014,615515,615515,82 McConnell Street,Kensington,1900,Residential,144.9285,-37.7926
2014,103572,103572,44 Erskine Street,North Melbourne,,Residential,144.9437,-37.7944
2014,101500,101500,50 Canning Street,Carlton,,Residential,144.9731,-37.7982
2014,615534,615534,108 McConnell Street,Kensington,1900,Residential,144.9287,-37.7934
2014,107912,107912,475 Queensberry Street,North Melbourne,,Residential,144.9517,-37.8035
2014,106991,106991,21-27 O'Connell Street,North Melbourne,1901,Residential,144.9576,-37.8053
2014,603427,603427,6 Frearson Walk,Kensington,,Residential,144.9234,-37.795
2014,104202,104202,30-38 Gatehouse Drive,Kensington,1998,Public,144.9192,-37.7924
2014,110149,110149,90-96 William Street,Melbourne (CBD),1908,Commercial,144.9592,-37.817
2014,105568,105568,107 Leopold Street,South Yarra,,Residential,144.9829,-37.8353
2014,106172,102697,530 Lygon Street,Carlton,,Residential,144.9694,-37.7948
2014,559174,559174,142A Kensington Road,Kensington,,Residential,144.9205,-37.798
2014,104349,104349,90 Gipps Street,East Melbourne,,Residential,144.9866,-37.8128
2014,105247,105247,50 Kensington Road,Kensington,,Residential,144.9256,-37.795
2014,623918,623918,1E Hotham Place,North Melbourne,2010,Residential,144.9529,-37.8006
2014,608362,608362,108 Parkville Avenue,Parkville,2006,Residential,144.9423,-37.7766
2014,108216,108216,254 Rathdowne Street,Carlton,,Residential,144.9716,-37.7929
2014,107244,107244,23 Park Drive,Parkville,,Residential,144.953,-37.7968
2014,106183,106183,428 Lygon Street,Carlton,,Residential,144.968,-37.7967
2014,111514,111514,28-38 Neale Street,Kensington,,Residential,144.9209,-37.7929
2014,102685,102685,295-297 Drummond Street,Carlton,1870,Public,144.9684,-37.799
2014,573292,573292,44 Bateman Road,Kensington,,Residential,144.9179,-37.7953
2014,615019,615019,40 Parsons Street,Kensington,1900,Residential,144.9333,-37.7902
2014,572115,572115,8 Princess Street,North Melbourne,,Residential,144.9566,-37.8048
2014,103380,103380,43 Epsom Road,Kensington,1915,Public,144.9256,-37.7922
2014,108756,108756,139 Simpson Street,East Melbourne,,Residential,144.9881,-37.8126
2014,611682,611682,11 Chetwynd Place,North Melbourne,2012,Residential,144.9521,-37.8025
2014,630112,110854,86 Macaulay Road,North Melbourne,2011,Residential,144.9424,-37.7982
2014,105342,105342,541-543 King Street,West Melbourne (Residential),1990,Commercial,144.9504,-37.8072
2014,617957,617957,29-47 Bendall Street,Kensington,1997,Residential,144.924,-37.7897
2014,608452,608452,11 Parkville Avenue,Parkville,2006,Residential,144.941,-37.7808
2014,107195,107195,245 Palmerston Street,Carlton,,Residential,144.9665,-37.796
2014,101200,101200,222-244 Bourke Street,Melbourne (CBD),1935,Retail,144.9663,-37.8127
2014,623214,623214,12 Magistrates Walk,East Melbourne,,Residential,144.9766,-37.8168
2014,108011,108011,466 Queensberry Street,North Melbourne,1870,Residential,144.952,-37.803
2014,108330,108330,10-14 The Ridgeway,Kensington,,Residential,144.9261,-37.7938
2014,106245,106245,152-154 Lygon Street,Carlton,1900,Public,144.9667,-37.8036
2014,104639,104639,34 Hardiman Street,Kensington,,Residential,144.9328,-37.7959
2014,101215,101215,130-132 Bourke Street,Melbourne (CBD),1920,Commercial,144.9692,-37.8122
